steamid,personaname
76561197960278307,Shadow
76561197960278322,Yukito
76561197960278327,AccLess
76561197960278330,gouranga
76561197960278331,=Robin=
76561197960278341,Dracolife
76561197960278345,Ezreal
76561197960278360,BravoMan
76561197960278366,[Pfeffer] X-mas
76561197960278378,eNder-
76561197960278394,dogarms
76561197960278407,Thanez
76561197960278417,Kharhaz
76561197960278421,LD| noie
76561197960278436,Steven Seagal
76561197960278438,*****|SSIBANGSE
76561197960278444,NoK!ll
76561197960278462,One Perfect Day
76561197960278463,Tiivi
76561197960278518,pp
76561197960278533,Vash
76561197960278534,Keath-K
76561197960278581,andy_baz
76561197960278589,remmz0r
76561197960278610,Suicidal Ewok[FiRe]
76561197960278611,cotabas
76561197960278624,Buddha
76561197960278637,-=BwA=- Cynophobia
76561197960278642,HitokiriBattousai
76561197960278651,faterror
76561197960278654,Hacke
